Category,Exercise,Variation
Isolation,Lateral Raise,"Supinated, Narrow, Machine"
Squat,Belt Squat,"Supinated, Staggered, Smith Machine"
Pull,Barbell Row,"False, Shoulder Width, Cable"
Press,Machine Chest Press,"False, Split, Cable"
Press,Incline Bench Press,"Supinated, Smith Machine, Elevated Heels"
Press,Dip,"Pronated, Dumbbell, Bands"
Pull,T-Bar Row,"Pronated, Barbell, Deficit"
Press,Decline Bench Press,"Pronated, Bodyweight, Chains"
Pull,Lat Pulldown,"Neutral, Barbell, Single Arm"
Squat,Front Squat,"False, Wide, Smith Machine"
Pull,T-Bar Row,"False, Narrow, Cable"
Squat,Hack Squat,"Pronated, Split, Barbell"
Squat,Back Squat,"Pronated, Bodyweight, Elevated Heels"
Press,Overhead Press,"Neutral, Cable, Single Arm"
Squat,Front Squat,"False, Shoulder Width, Machine"
Isolation,Leg Curl,"Neutral, Cable, Chains"
Hinge,Back Extension,"Supinated, Split, Bodyweight"
Press,Incline Bench Press,"Neutral, Staggered, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Split, Barbell"
Pull,Lat Pulldown,"False, Staggered, Barbell"
Press,Smith Machine Press,"Pronated, Narrow, Bodyweight"
Pull,T-Bar Row,"Neutral, Machine, Feet Elevated"
Press,Decline Bench Press,"Pronated, Barbell, Elevated Heels"
Press,Decline Bench Press,"Neutral, Smith Machine, Deficit"
Squat,Goblet Squat,"Neutral, Cable, Deficit"
Press,Decline Bench Press,"Supinated, Shoulder Width, Cable"
Press,Dip,"Pronated, Shoulder Width, Barbell"
Press,Dip,"False, Wide, Barbell"
Hinge,Romanian Deadlift,"Mixed, Staggered, Machine"
Pull,Pull-Up,"Pronated, Wide, Barbell"
Press,Dip,"Neutral, Barbell, Elevated Heels"
Press,Machine Chest Press,"Pronated, Bodyweight, Single Arm"
Squat,Safety Bar Squat,"Supinated, Shoulder Width, Bodyweight"
Hinge,Good Morning,"Neutral, Cable, Elevated Heels"
Hinge,Deadlift,"Pronated, Machine, Feet Elevated"
Isolation,Tricep Pushdown,"Neutral, Bodyweight, Bands"
Isolation,Calf Raise,"Mixed, Narrow, Barbell"
Squat,Safety Bar Squat,"Neutral, Smith Machine, Elevated Heels"
Pull,Chin-Up,"Pronated, Barbell, Bands"
Pull,T-Bar Row,"Neutral, Staggered, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Machine, Elevated Heels"
Hinge,Deadlift,"False, Wide, Machine"
Squat,Hack Squat,"Neutral, Cable, Deficit"
Squat,Safety Bar Squat,Standard
Press,Decline Bench Press,"Supinated, Shoulder Width, Smith Machine"
Isolation,Lateral Raise,"Supinated, Split, Smith Machine"
Press,Dip,"Supinated, Barbell, Single Arm"
Hinge,Hip Thrust,"Pronated, Dumbbell, Chains"
Hinge,Hip Thrust,"Pronated, Machine, Single Arm"
Pull,Lat Pulldown,"Supinated, Machine, Chains"
Press,Dumbbell Bench Press,"Mixed, Shoulder Width, Smith Machine"
Squat,Zercher Squat,"False, Wide, Dumbbell"
Isolation,Leg Curl,"Supinated, Smith Machine, Deficit"
Press,Decline Bench Press,"Neutral, Barbell, Chains"
Press,Machine Chest Press,"Mixed, Split, Cable"
Isolation,Rear Delt Fly,"Neutral, Wide, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Pronated, Barbell, Chains"
Press,Dip,"Neutral, Wide, Machine"
Hinge,Hip Thrust,"Pronated, Shoulder Width, Dumbbell"
Press,Barbell Bench Press,"Supinated, Staggered, Bodyweight"
Pull,Barbell Row,"Neutral, Dumbbell, Bands"
Press,Dumbbell Bench Press,"Mixed, Wide, Barbell"
Hinge,Deadlift,"Neutral, Split, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Dumbbell, Feet Elevated"
Hinge,Good Morning,"False, Staggered, Barbell"
Hinge,Back Extension,"Pronated, Split, Bodyweight"
Isolation,Bicep Curl,"Neutral, Shoulder Width, Barbell"
Pull,Chin-Up,"Supinated, Wide, Dumbbell"
Pull,Lat Pulldown,"Neutral, Staggered, Cable"
Press,Dip,"Neutral, Machine, Bands"
Press,Smith Machine Press,"Supinated, Bodyweight, Deficit"
Isolation,Tricep Pushdown,"Supinated, Wide, Smith Machine"
Hinge,Back Extension,"Mixed, Narrow, Dumbbell"
Press,Machine Chest Press,"Pronated, Wide, Bodyweight"
Isolation,Bicep Curl,"False, Shoulder Width, Bodyweight"
Pull,Lat Pulldown,"Neutral, Bodyweight, Deficit"
Squat,Zercher Squat,"Neutral, Shoulder Width, Barbell"
Press,Decline Bench Press,"Mixed, Wide, Cable"
Hinge,Good Morning,"Supinated, Narrow, Barbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Narrow, Cable"
Hinge,Back Extension,"Supinated, Cable, Bands"
Isolation,Bicep Curl,"False, Shoulder Width, Dumbbell"
Press,Overhead Press,"Supinated, Machine, Bands"
Press,Incline Bench Press,"Supinated, Dumbbell, Deficit"
Press,Overhead Press,"Neutral, Shoulder Width, Bodyweight"
Hinge,Deadlift,"Pronated, Staggered, Smith Machine"
Pull,Cable Row,"Pronated, Wide, Smith Machine"
Pull,Chin-Up,"Supinated, Wide, Smith Machine"
Squat,Zercher Squat,"False, Shoulder Width, Bodyweight"
Press,Decline Bench Press,"Pronated, Cable, Deficit"
Hinge,Good Morning,"Supinated, Machine, Chains"
Hinge,Back Extension,"False, Split, Smith Machine"
Hinge,Romanian Deadlift,"Pronated, Split, Dumbbell"
Pull,Cable Row,"Pronated, Narrow, Smith Machine"
Press,Smith Machine Press,"Neutral, Bodyweight, Elevated Heels"
Pull,Pull-Up,"Pronated, Bodyweight, Bands"
Hinge,Romanian Deadlift,"Pronated, Smith Machine, Deficit"
Hinge,Hip Thrust,"Neutral, Smith Machine, Elevated Heels"
Isolation,Rear Delt Fly,"Supinated, Barbell, Feet Elevated"
Isolation,Tricep Pushdown,"Supinated, Cable, Single Arm"
Pull,Lat Pulldown,"Pronated, Barbell, Deficit"
Press,Machine Chest Press,"Pronated, Shoulder Width, Smith Machine"
Press,Overhead Press,"Pronated, Staggered, Cable"
Pull,Chin-Up,"Mixed, Wide, Smith Machine"
Hinge,Hip Thrust,Standard
Pull,Lat Pulldown,"False, Narrow, Cable"
Press,Decline Bench Press,"Supinated, Smith Machine, Elevated Heels"
Press,Smith Machine Press,"False, Split, Bodyweight"
Isolation,Calf Raise,"Neutral, Barbell, Feet Elevated"
Hinge,Stiff-Leg Deadlift,"Neutral, Split, Barbell"
Press,Dip,"Pronated, Barbell, Elevated Heels"
Squat,Front Squat,"Neutral, Shoulder Width, Machine"
Pull,Pull-Up,"Mixed, Shoulder Width, Dumbbell"
Pull,Chest Supported Row,"Neutral, Cable, Single Arm"
Hinge,Good Morning,"Neutral, Staggered, Cable"
Isolation,Lateral Raise,"Neutral, Wide, Dumbbell"
Pull,Cable Row,"Neutral, Machine, Chains"
Press,Barbell Bench Press,"Supinated, Dumbbell, Feet Elevated"
Squat,Zercher Squat,"Pronated, Smith Machine, Chains"
Press,Overhead Press,"False, Narrow, Machine"
Isolation,Bicep Curl,"Mixed, Shoulder Width, Bodyweight"
Pull,Lat Pulldown,"Neutral, Machine, Feet Elevated"
Hinge,Good Morning,"Neutral, Bodyweight, Deficit"
Pull,Chin-Up,"Supinated, Cable, Single Arm"
Pull,Cable Row,"Supinated, Bodyweight, Bands"
Press,Incline Bench Press,"Pronated, Staggered, Barbell"
Press,Decline Bench Press,"Neutral, Barbell, Bands"
Press,Smith Machine Press,"Pronated, Smith Machine, Single Arm"
Press,Barbell Bench Press,"Mixed, Narrow, Cable"
Isolation,Leg Extension,"Pronated, Split, Barbell"
Press,Barbell Bench Press,"Pronated, Dumbbell, Elevated Heels"
Press,Dip,"Supinated, Shoulder Width, Smith Machine"
Pull,Lat Pulldown,"Neutral, Staggered, Smith Machine"
Press,Smith Machine Press,"Pronated, Split, Smith Machine"
Squat,Zercher Squat,"Mixed, Shoulder Width, Bodyweight"
Isolation,Leg Curl,"Supinated, Dumbbell, Bands"
Pull,Cable Row,"False, Split, Barbell"
Squat,Safety Bar Squat,"Pronated, Shoulder Width, Cable"
Press,Dip,"Neutral, Barbell, Chains"
Hinge,Romanian Deadlift,"Pronated, Barbell, Bands"
Press,Barbell Bench Press,"Pronated, Bodyweight, Feet Elevated"
Hinge,Deadlift,"Neutral, Wide, Barbell"
Hinge,Hip Thrust,"Mixed, Split, Barbell"
Hinge,Good Morning,"Supinated, Staggered, Smith Machine"
Squat,Safety Bar Squat,"Pronated, Dumbbell, Bands"
Hinge,Good Morning,"Pronated, Barbell, Deficit"
Hinge,Good Morning,"False, Narrow, Cable"
Isolation,Rear Delt Fly,"Mixed, Split, Dumbbell"
Press,Smith Machine Press,"False, Narrow, Dumbbell"
Hinge,Romanian Deadlift,"Supinated, Narrow, Smith Machine"
Squat,Front Squat,"Pronated, Bodyweight, Deficit"
Isolation,Leg Curl,"Supinated, Split, Bodyweight"
Isolation,Rear Delt Fly,"Supinated, Shoulder Width, Dumbbell"
Isolation,Tricep Pushdown,"Neutral, Dumbbell, Chains"
Hinge,Back Extension,"Pronated, Staggered, Machine"
Press,Barbell Bench Press,"Supinated, Split, Machine"
Hinge,Good Morning,"Neutral, Machine, Feet Elevated"
Isolation,Bicep Curl,"False, Staggered, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Split, Dumbbell"
Squat,Safety Bar Squat,"False, Wide, Barbell"
Press,Dip,"Mixed, Wide, Cable"
Press,Decline Bench Press,"False, Wide, Smith Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Smith Machine, Deficit"
Press,Incline Bench Press,"Supinated, Cable, Chains"
Press,Decline Bench Press,"False, Shoulder Width, Machine"
Isolation,Leg Extension,"Pronated, Wide, Barbell"
Hinge,Hip Thrust,"Pronated, Staggered, Bodyweight"
Hinge,Back Extension,"Supinated, Bodyweight, Single Arm"
Hinge,Romanian Deadlift,"Supinated, Wide, Dumbbell"
Pull,Barbell Row,"Supinated, Smith Machine, Chains"
Hinge,Deadlift,"Neutral, Cable, Feet Elevated"
Pull,Cable Row,"Pronated, Cable, Single Arm"
Press,Barbell Bench Press,"Pronated, Wide, Smith Machine"
Isolation,Bicep Curl,"Neutral, Staggered, Bodyweight"
Squat,Zercher Squat,"False, Staggered, Bodyweight"
Squat,Zercher Squat,"Supinated, Bodyweight, Elevated Heels"
Press,Dip,"Pronated, Cable, Deficit"
Press,Dumbbell Bench Press,"Pronated, Smith Machine, Bands"
Press,Barbell Bench Press,"Pronated, Narrow, Smith Machine"
Pull,Chest Supported Row,"Supinated, Machine, Bands"
Pull,Chest Supported Row,"Neutral, Shoulder Width, Bodyweight"
Pull,Pull-Up,"Pronated, Dumbbell, Chains"
Pull,Lat Pulldown,"Neutral, Staggered, Machine"
Pull,Pull-Up,"Pronated, Machine, Single Arm"
Press,Barbell Bench Press,"Pronated, Machine, Deficit"
Squat,Belt Squat,"Neutral, Cable, Single Arm"
Hinge,Romanian Deadlift,"False, Shoulder Width, Cable"
Pull,Chest Supported Row,"Supinated, Bodyweight, Feet Elevated"
Pull,Barbell Row,"Neutral, Staggered, Dumbbell"
Press,Incline Bench Press,"Pronated, Cable, Bands"
Pull,T-Bar Row,"Neutral, Cable, Single Arm"
Press,Dip,"Supinated, Smith Machine, Elevated Heels"
Squat,Safety Bar Squat,"Neutral, Wide, Machine"
Pull,Pull-Up,"Pronated, Shoulder Width, Dumbbell"
Hinge,Hip Thrust,"Pronated, Shoulder Width, Cable"
Pull,Chest Supported Row,"Pronated, Staggered, Cable"
Hinge,Hip Thrust,"Supinated, Smith Machine, Bands"
Isolation,Leg Curl,"Pronated, Split, Bodyweight"
Press,Overhead Press,"False, Wide, Dumbbell"
Hinge,Deadlift,"False, Wide, Bodyweight"
Squat,Back Squat,"Neutral, Bodyweight, Bands"
Press,Dip,"Neutral, Barbell, Bands"
Isolation,Lateral Raise,"Mixed, Split, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Pronated, Barbell, Bands"
Isolation,Tricep Pushdown,"Supinated, Machine, Single Arm"
Hinge,Back Extension,"Supinated, Barbell, Deficit"
Press,Incline Bench Press,"Neutral, Cable, Bands"
Pull,Cable Row,"Supinated, Smith Machine, Feet Elevated"
Isolation,Leg Curl,"Mixed, Narrow, Dumbbell"
Press,Barbell Bench Press,"Mixed, Split, Bodyweight"
Isolation,Tricep Pushdown,"Mixed, Shoulder Width, Smith Machine"
Isolation,Lateral Raise,"Supinated, Shoulder Width, Dumbbell"
Isolation,Leg Curl,"Supinated, Cable, Bands"
Press,Incline Bench Press,"Supinated, Dumbbell, Elevated Heels"
Squat,Zercher Squat,"Mixed, Split, Machine"
Hinge,Stiff-Leg Deadlift,"Supinated, Narrow, Smith Machine"
Isolation,Rear Delt Fly,"Mixed, Narrow, Machine"
Isolation,Calf Raise,"Neutral, Bodyweight, Chains"
Isolation,Tricep Pushdown,"Mixed, Wide, Barbell"
Hinge,Hip Thrust,"False, Wide, Barbell"
Hinge,Hip Thrust,"Pronated, Shoulder Width, Barbell"
Pull,Lat Pulldown,"False, Wide, Cable"
Pull,Cable Row,"Neutral, Machine, Elevated Heels"
Hinge,Hip Thrust,"Neutral, Barbell, Elevated Heels"
Pull,Chin-Up,"Mixed, Shoulder Width, Smith Machine"
Isolation,Leg Curl,"False, Split, Smith Machine"
Squat,Goblet Squat,"Supinated, Split, Barbell"
Isolation,Rear Delt Fly,"Neutral, Staggered, Barbell"
Isolation,Leg Extension,"Pronated, Bodyweight, Bands"
Squat,Safety Bar Squat,"Pronated, Bodyweight, Chains"
Pull,Pull-Up,"Neutral, Smith Machine, Elevated Heels"
Isolation,Bicep Curl,"Supinated, Dumbbell, Deficit"
Hinge,Stiff-Leg Deadlift,"Supinated, Wide, Dumbbell"
Isolation,Calf Raise,"Pronated, Wide, Machine"
Squat,Goblet Squat,"Supinated, Barbell, Bands"
Pull,Pull-Up,Standard
Hinge,Deadlift,"Neutral, Dumbbell, Feet Elevated"
Hinge,Romanian Deadlift,"Neutral, Dumbbell, Bands"
Squat,Hack Squat,"Supinated, Split, Barbell"
Squat,Safety Bar Squat,"Neutral, Smith Machine, Deficit"
Hinge,Hip Thrust,"Supinated, Barbell, Single Arm"
Hinge,Back Extension,"Neutral, Split, Machine"
Pull,Barbell Row,"Pronated, Narrow, Barbell"
Squat,Safety Bar Squat,"Supinated, Shoulder Width, Cable"
Pull,Chin-Up,"Supinated, Smith Machine, Chains"
Press,Dip,"False, Wide, Smith Machine"
Press,Machine Chest Press,"Pronated, Machine, Feet Elevated"
Isolation,Leg Extension,"Mixed, Shoulder Width, Dumbbell"
Isolation,Calf Raise,"False, Staggered, Dumbbell"
Press,Incline Bench Press,"Neutral, Smith Machine, Single Arm"
Press,Dip,"False, Shoulder Width, Machine"
Isolation,Rear Delt Fly,"Pronated, Barbell, Single Arm"
Press,Barbell Bench Press,"Pronated, Cable, Single Arm"
Squat,Zercher Squat,"Supinated, Dumbbell, Single Arm"
Squat,Hack Squat,"Supinated, Shoulder Width, Bodyweight"
Squat,Belt Squat,"Neutral, Shoulder Width, Bodyweight"
Press,Barbell Bench Press,"Neutral, Smith Machine, Feet Elevated"
Hinge,Hip Thrust,"Neutral, Wide, Machine"
Hinge,Stiff-Leg Deadlift,"False, Shoulder Width, Cable"
Isolation,Leg Curl,"Supinated, Shoulder Width, Machine"
Pull,T-Bar Row,"Supinated, Machine, Bands"
Press,Decline Bench Press,"Neutral, Shoulder Width, Machine"
Pull,T-Bar Row,"Neutral, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Supinated, Wide, Smith Machine"
Isolation,Calf Raise,"Supinated, Machine, Elevated Heels"
Isolation,Tricep Pushdown,"Pronated, Cable, Elevated Heels"
Press,Decline Bench Press,"Supinated, Cable, Chains"
Press,Overhead Press,"Pronated, Smith Machine, Chains"
Press,Barbell Bench Press,"Supinated, Cable, Feet Elevated"
Press,Incline Bench Press,"Neutral, Shoulder Width, Smith Machine"
Hinge,Hip Thrust,"Neutral, Machine, Bands"
Pull,Chin-Up,"Neutral, Staggered, Dumbbell"
Pull,T-Bar Row,"Supinated, Bodyweight, Feet Elevated"
Pull,Barbell Row,"Supinated, Narrow, Machine"
Press,Smith Machine Press,"Pronated, Barbell, Feet Elevated"
Squat,Safety Bar Squat,"Neutral, Barbell, Chains"
Isolation,Bicep Curl,"Pronated, Staggered, Barbell"
Hinge,Stiff-Leg Deadlift,"Mixed, Wide, Smith Machine"
Squat,Belt Squat,"Pronated, Staggered, Cable"
Press,Machine Chest Press,"Neutral, Split, Bodyweight"
Press,Dumbbell Bench Press,"Neutral, Wide, Dumbbell"
Isolation,Lateral Raise,"Mixed, Narrow, Machine"
Pull,Pull-Up,"Mixed, Split, Barbell"
Press,Overhead Press,"Mixed, Shoulder Width, Bodyweight"
Pull,T-Bar Row,"Pronated, Staggered, Cable"
Isolation,Leg Curl,"Neutral, Shoulder Width, Cable"
Pull,Lat Pulldown,"Neutral, Cable, Single Arm"
Pull,Chin-Up,"Mixed, Narrow, Smith Machine"
Pull,Cable Row,"Mixed, Staggered, Bodyweight"
Squat,Belt Squat,"False, Narrow, Machine"
Isolation,Lateral Raise,"Neutral, Staggered, Barbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Cable, Single Arm"
Press,Incline Bench Press,"Supinated, Staggered, Barbell"
Press,Smith Machine Press,"False, Narrow, Bodyweight"
Squat,Belt Squat,"Neutral, Bodyweight, Bands"
Pull,Chest Supported Row,"False, Wide, Dumbbell"
Press,Overhead Press,"Supinated, Machine, Single Arm"
Press,Machine Chest Press,"Pronated, Staggered, Smith Machine"
Pull,Pull-Up,"Pronated, Staggered, Bodyweight"
Isolation,Rear Delt Fly,"Supinated, Narrow, Dumbbell"
Isolation,Leg Curl,"Supinated, Bodyweight, Single Arm"
Press,Decline Bench Press,"Neutral, Cable, Bands"
Hinge,Hip Thrust,"Pronated, Barbell, Elevated Heels"
Hinge,Deadlift,"Supinated, Staggered, Bodyweight"
Isolation,Lateral Raise,"Pronated, Barbell, Single Arm"
Squat,Safety Bar Squat,"Pronated, Cable, Deficit"
Pull,Barbell Row,"Supinated, Split, Smith Machine"
Hinge,Back Extension,"Mixed, Split, Smith Machine"
Isolation,Leg Extension,"Pronated, Dumbbell, Chains"
Isolation,Leg Extension,"Pronated, Machine, Single Arm"
Isolation,Lateral Raise,"Supinated, Staggered, Machine"
Pull,Chest Supported Row,"Neutral, Shoulder Width, Barbell"
Press,Dumbbell Bench Press,"Neutral, Smith Machine, Chains"
Isolation,Rear Delt Fly,"Supinated, Machine, Feet Elevated"
Press,Overhead Press,"Supinated, Bodyweight, Elevated Heels"
Squat,Front Squat,"Supinated, Barbell, Elevated Heels"
Press,Smith Machine Press,"Supinated, Smith Machine, Deficit"
Hinge,Hip Thrust,"Supinated, Shoulder Width, Smith Machine"
Isolation,Calf Raise,"Supinated, Split, Cable"
Hinge,Good Morning,"Neutral, Cable, Single Arm"
Press,Dumbbell Bench Press,"Supinated, Barbell, Feet Elevated"
Squat,Back Squat,"Neutral, Dumbbell, Chains"
Isolation,Rear Delt Fly,"Supinated, Narrow, Bodyweight"
Pull,Pull-Up,"Pronated, Shoulder Width, Cable"
Pull,Chest Supported Row,"False, Shoulder Width, Bodyweight"
Pull,Pull-Up,"Supinated, Smith Machine, Bands"
Squat,Goblet Squat,"Pronated, Dumbbell, Single Arm"
Hinge,Hip Thrust,"Neutral, Barbell, Chains"
Press,Dumbbell Bench Press,"False, Narrow, Barbell"
Isolation,Bicep Curl,"Mixed, Wide, Machine"
Isolation,Tricep Pushdown,"Pronated, Smith Machine, Bands"
Squat,Front Squat,"Supinated, Cable, Elevated Heels"
Squat,Safety Bar Squat,"Neutral, Barbell, Bands"
Isolation,Bicep Curl,"Pronated, Cable, Bands"
Press,Dip,"Neutral, Shoulder Width, Machine"
Isolation,Leg Curl,"Supinated, Barbell, Deficit"
Isolation,Lateral Raise,"Neutral, Dumbbell, Elevated Heels"
Press,Dip,"Supinated, Cable, Chains"
Pull,Chin-Up,"Supinated, Narrow, Machine"
Squat,Hack Squat,"Pronated, Dumbbell, Single Arm"
Hinge,Romanian Deadlift,"Supinated, Smith Machine, Chains"
Pull,Lat Pulldown,"Supinated, Machine, Bands"
Squat,Zercher Squat,"Mixed, Wide, Machine"
Squat,Goblet Squat,"Neutral, Split, Cable"
Press,Overhead Press,"Pronated, Cable, Elevated Heels"
Pull,Lat Pulldown,"Neutral, Shoulder Width, Bodyweight"
Press,Machine Chest Press,"Neutral, Wide, Barbell"
Pull,Pull-Up,"False, Wide, Barbell"
Pull,Chest Supported Row,"Pronated, Smith Machine, Chains"
Pull,Pull-Up,"Pronated, Shoulder Width, Barbell"
Hinge,Hip Thrust,"Mixed, Wide, Cable"
Hinge,Back Extension,"Pronated, Shoulder Width, Bodyweight"
Isolation,Lateral Raise,"Supinated, Narrow, Dumbbell"
Pull,Pull-Up,"Neutral, Barbell, Elevated Heels"
Pull,Lat Pulldown,"Supinated, Bodyweight, Feet Elevated"
Press,Incline Bench Press,"Neutral, Narrow, Dumbbell"
Press,Decline Bench Press,"Neutral, Shoulder Width, Smith Machine"
Squat,Hack Squat,"Neutral, Split, Cable"
Press,Overhead Press,"Mixed, Split, Machine"
Isolation,Leg Extension,"Supinated, Shoulder Width, Bodyweight"
Isolation,Calf Raise,"False, Staggered, Machine"
Squat,Hack Squat,"Pronated, Dumbbell, Bands"
Isolation,Bicep Curl,"Supinated, Dumbbell, Elevated Heels"
Isolation,Leg Extension,"Neutral, Smith Machine, Elevated Heels"
Hinge,Deadlift,"Mixed, Narrow, Cable"
Squat,Belt Squat,"False, Wide, Dumbbell"
Press,Barbell Bench Press,"Supinated, Cable, Deficit"
Press,Dumbbell Bench Press,"Mixed, Split, Dumbbell"
Press,Incline Bench Press,"Supinated, Smith Machine, Single Arm"
Pull,Lat Pulldown,"Pronated, Staggered, Cable"
Pull,Chest Supported Row,"Mixed, Shoulder Width, Bodyweight"
Hinge,Hip Thrust,"Pronated, Cable, Deficit"
Isolation,Bicep Curl,"False, Split, Bodyweight"
Pull,Cable Row,"Pronated, Bodyweight, Deficit"
Pull,T-Bar Row,"False, Wide, Dumbbell"
Isolation,Leg Extension,Standard
Pull,Pull-Up,"Supinated, Barbell, Single Arm"
Squat,Back Squat,"Supinated, Machine, Single Arm"
Isolation,Lateral Raise,"Supinated, Machine, Feet Elevated"
Pull,Barbell Row,"Pronated, Cable, Chains"
Squat,Safety Bar Squat,"False, Wide, Smith Machine"
Hinge,Deadlift,"Mixed, Shoulder Width, Cable"
Squat,Back Squat,"Mixed, Shoulder Width, Smith Machine"
Squat,Safety Bar Squat,"False, Shoulder Width, Machine"
Hinge,Deadlift,"Pronated, Bodyweight, Feet Elevated"
Isolation,Lateral Raise,"Supinated, Narrow, Bodyweight"
Pull,Chin-Up,"Supinated, Split, Smith Machine"
Squat,Zercher Squat,"False, Split, Bodyweight"
